Revenue,Costs,GrossMargin,ProfitabilityByProductCategory
75737.93,19864.15,0.41,Modified PVC
76251.37,20890.28,0.39,PVC-U (unplasticised PVC)
21153.65,14923.54,0.42,Modified PVC
63625.25,49450.29,0.46,PVC-U (unplasticised PVC)
59082.92,42339.27,0.38,PVC-U (unplasticised PVC)
23412.4,18116.2,0.27,C-PVC (chlorinated PVC)
99217.24,44992.38,0.15,PVC-U (unplasticised PVC)
48474.52,48744.5,0.3,PVC-O (molecular oriented PVC)
24304.44,25696.3,0.29,C-PVC (chlorinated PVC)
23454.96,24256.49,0.15,Modified PVC
84118.41,28490.22,0.33,C-PVC (chlorinated PVC)
90244.89,18249.1,0.37,PVC-U (unplasticised PVC)
56869.73,16248.09,0.49,PVC-U (unplasticised PVC)
59916.89,20013.82,0.49,C-PVC (chlorinated PVC)
26464.96,18565.08,0.22,PVC-O (molecular oriented PVC)
37882.58,43713.25,0.34,C-PVC (chlorinated PVC)
20923.65,10398.03,0.47,Modified PVC
52523.64,11835.88,0.28,Modified PVC
33847.32,32217.88,0.25,PVC-U (unplasticised PVC)
10854.53,9793.46,0.43,PVC-U (unplasticised PVC)
63952.02,5505.61,0.24,PVC-U (unplasticised PVC)
72300.73,26524.57,0.11,C-PVC (chlorinated PVC)
63606.61,48531.67,0.12,C-PVC (chlorinated PVC)
26300.65,5916.63,0.29,Modified PVC
51249.83,8024.91,0.2,Modified PVC
28001.81,10602.48,0.18,PVC-O (molecular oriented PVC)
37894.7,32034.52,0.3,PVC-O (molecular oriented PVC)
44482.51,29508.91,0.44,C-PVC (chlorinated PVC)
86295.4,42192.52,0.22,C-PVC (chlorinated PVC)
19899.98,28738.34,0.23,PVC-O (molecular oriented PVC)
66927.75,22367.15,0.21,Modified PVC
70937.62,7672.62,0.43,Modified PVC
22782.91,47099.23,0.43,C-PVC (chlorinated PVC)
47417.09,31351.89,0.1,PVC-U (unplasticised PVC)
10415.18,37910.24,0.47,PVC-U (unplasticised PVC)
79708.56,48208.73,0.31,PVC-O (molecular oriented PVC)
21714.08,5620.13,0.37,PVC-U (unplasticised PVC)
25630.12,19058.0,0.49,Modified PVC
96199.5,29828.55,0.26,Modified PVC
37348.5,8651.71,0.22,PVC-O (molecular oriented PVC)
88823.11,28870.06,0.44,PVC-O (molecular oriented PVC)
92275.17,17404.54,0.22,PVC-U (unplasticised PVC)
49947.79,5058.14,0.38,PVC-O (molecular oriented PVC)
74242.63,36434.52,0.27,PVC-U (unplasticised PVC)
48491.55,17229.71,0.32,C-PVC (chlorinated PVC)
13917.16,14082.06,0.19,C-PVC (chlorinated PVC)
74841.83,46860.6,0.19,PVC-O (molecular oriented PVC)
85931.43,38190.9,0.33,Modified PVC
38498.52,38838.79,0.41,PVC-O (molecular oriented PVC)
85609.52,36771.89,0.44,C-PVC (chlorinated PVC)
77670.53,42577.53,0.46,PVC-O (molecular oriented PVC)
28964.19,13466.28,0.5,C-PVC (chlorinated PVC)
94882.03,8429.49,0.25,PVC-U (unplasticised PVC)
73948.48,46257.72,0.23,C-PVC (chlorinated PVC)
87415.18,11138.18,0.18,PVC-U (unplasticised PVC)
26137.78,48586.86,0.45,PVC-O (molecular oriented PVC)
55589.45,37233.6,0.45,C-PVC (chlorinated PVC)
58272.16,42262.07,0.21,PVC-O (molecular oriented PVC)
27918.04,13261.23,0.38,C-PVC (chlorinated PVC)
64524.2,24819.59,0.2,C-PVC (chlorinated PVC)
49198.05,48298.61,0.21,C-PVC (chlorinated PVC)
44721.87,23149.34,0.27,Modified PVC
23764.77,9800.01,0.29,Modified PVC
27561.97,25659.85,0.45,C-PVC (chlorinated PVC)
89075.87,7950.47,0.13,Modified PVC
83667.82,41594.3,0.24,C-PVC (chlorinated PVC)
46450.2,23559.69,0.41,Modified PVC
84236.94,40996.59,0.18,PVC-O (molecular oriented PVC)
99032.42,44519.8,0.25,C-PVC (chlorinated PVC)
27280.5,34459.86,0.17,Modified PVC
43342.96,29281.76,0.26,Modified PVC
42070.3,35069.92,0.41,Modified PVC
76180.95,9417.67,0.27,PVC-O (molecular oriented PVC)
40168.31,44183.89,0.31,PVC-U (unplasticised PVC)
27168.0,46866.39,0.47,PVC-O (molecular oriented PVC)
34718.44,37347.17,0.11,C-PVC (chlorinated PVC)
71654.4,38882.3,0.26,Modified PVC
98333.77,12830.76,0.23,PVC-O (molecular oriented PVC)
24675.35,44945.6,0.18,PVC-U (unplasticised PVC)
35719.26,22531.73,0.15,C-PVC (chlorinated PVC)
11563.11,30835.81,0.41,PVC-O (molecular oriented PVC)
47410.82,28283.79,0.22,PVC-U (unplasticised PVC)
52880.09,23000.88,0.43,C-PVC (chlorinated PVC)
49285.85,19316.8,0.11,C-PVC (chlorinated PVC)
89284.59,36690.79,0.5,PVC-U (unplasticised PVC)
93536.11,30682.32,0.29,C-PVC (chlorinated PVC)
77864.84,44281.77,0.29,Modified PVC
14562.67,44926.65,0.27,C-PVC (chlorinated PVC)
21026.46,22385.47,0.28,Modified PVC
53716.61,15998.95,0.38,PVC-O (molecular oriented PVC)
93879.78,12662.62,0.36,Modified PVC
52638.78,32375.01,0.31,Modified PVC
48556.25,34751.7,0.47,Modified PVC
51036.17,40465.81,0.13,PVC-U (unplasticised PVC)
25544.22,19864.68,0.33,C-PVC (chlorinated PVC)
80683.37,47056.36,0.28,Modified PVC
97375.93,48359.5,0.34,C-PVC (chlorinated PVC)
80710.69,11195.49,0.14,PVC-O (molecular oriented PVC)
64804.22,32871.89,0.1,C-PVC (chlorinated PVC)
51547.15,11575.75,0.21,C-PVC (chlorinated PVC)
89484.73,34949.71,0.12,C-PVC (chlorinated PVC)
12942.9,18433.11,0.41,C-PVC (chlorinated PVC)
91644.98,45543.67,0.33,C-PVC (chlorinated PVC)
65981.64,27664.33,0.46,PVC-U (unplasticised PVC)
79135.02,46926.9,0.22,PVC-O (molecular oriented PVC)
72510.28,13403.79,0.23,Modified PVC
94397.81,7882.44,0.28,PVC-O (molecular oriented PVC)
69544.1,21450.22,0.23,Modified PVC
21724.33,7131.77,0.46,C-PVC (chlorinated PVC)
53335.95,48138.37,0.11,PVC-U (unplasticised PVC)
62622.38,36749.63,0.41,PVC-O (molecular oriented PVC)
65174.37,31826.91,0.49,C-PVC (chlorinated PVC)
48227.66,49414.6,0.18,PVC-U (unplasticised PVC)
49862.04,10065.99,0.34,PVC-U (unplasticised PVC)
88565.22,35191.75,0.18,PVC-O (molecular oriented PVC)
98866.41,24354.1,0.31,PVC-U (unplasticised PVC)
15068.39,12315.21,0.33,PVC-U (unplasticised PVC)
43672.9,36967.46,0.12,C-PVC (chlorinated PVC)
17746.17,38027.91,0.4,PVC-O (molecular oriented PVC)
45277.94,10109.12,0.36,PVC-O (molecular oriented PVC)
18835.33,10894.0,0.39,C-PVC (chlorinated PVC)
41815.68,24535.27,0.26,C-PVC (chlorinated PVC)
20289.63,8077.02,0.14,C-PVC (chlorinated PVC)
13806.73,24580.1,0.38,Modified PVC
83674.23,30615.52,0.37,C-PVC (chlorinated PVC)
67982.76,46223.44,0.21,PVC-U (unplasticised PVC)
86034.04,28087.44,0.41,PVC-O (molecular oriented PVC)
19346.81,39415.87,0.33,PVC-U (unplasticised PVC)
49964.77,22866.92,0.32,Modified PVC
32718.28,39913.24,0.45,Modified PVC
78708.42,40774.52,0.34,PVC-O (molecular oriented PVC)
83189.38,39571.36,0.17,C-PVC (chlorinated PVC)
98367.75,14002.03,0.49,Modified PVC
99935.53,5811.59,0.5,PVC-O (molecular oriented PVC)
40958.56,12540.79,0.47,C-PVC (chlorinated PVC)
12151.49,31225.18,0.44,PVC-O (molecular oriented PVC)
55234.42,16429.16,0.41,PVC-O (molecular oriented PVC)
28189.83,40093.34,0.37,PVC-O (molecular oriented PVC)
21570.63,18387.58,0.43,Modified PVC
16414.23,32406.45,0.12,Modified PVC
77544.13,47755.63,0.16,PVC-O (molecular oriented PVC)
68553.07,26523.1,0.3,PVC-O (molecular oriented PVC)
88715.98,21690.47,0.35,Modified PVC
33100.29,36936.87,0.31,PVC-O (molecular oriented PVC)
24854.3,46374.84,0.36,PVC-U (unplasticised PVC)
90354.59,19291.92,0.11,PVC-O (molecular oriented PVC)
94228.64,33008.76,0.14,Modified PVC
60920.15,23439.32,0.35,Modified PVC
54745.14,35127.55,0.41,PVC-O (molecular oriented PVC)
77901.41,25876.51,0.29,PVC-O (molecular oriented PVC)
61057.12,15521.3,0.42,C-PVC (chlorinated PVC)
