ProductID,CurrentStockLevels,InventoryTurnoverRate,StockAlerts
1,404,6.37,Normal
2,467,3.3,Normal
3,102,3.34,Normal
4,663,2.04,Normal
5,503,8.53,Normal
6,708,2.38,Low
7,194,9.78,Normal
8,49,7.02,Normal
9,367,5.2,Normal
10,320,1.82,Low
11,443,4.3,Normal
12,962,7.27,Normal
13,313,6.65,Normal
14,950,1.92,Normal
15,586,3.22,Normal
16,885,8.87,Low
17,825,7.72,Normal
18,46,2.99,Normal
19,741,2.52,Normal
20,347,8.42,Normal
21,884,3.46,Normal
22,828,6.02,Normal
23,464,7.74,Normal
24,472,3.94,Normal
25,449,2.78,Normal
26,885,6.3,Normal
27,662,8.18,Normal
28,520,4.68,Normal
29,499,7.64,Normal
30,220,2.02,Low
31,686,5.21,Normal
32,792,3.81,Normal
33,125,8.99,Normal
34,918,2.29,Normal
35,464,3.68,Normal
36,490,2.06,Normal
37,611,1.7,Normal
38,828,2.04,Normal
39,680,1.84,Normal
40,814,6.58,Normal
41,243,5.11,Normal
42,76,7.81,Normal
43,1,1.07,Normal
44,621,8.54,Normal
45,96,4.17,Low
46,882,5.43,Normal
47,778,5.17,Normal
48,587,3.86,Normal
49,321,9.46,Normal
50,949,5.32,Normal
51,216,1.04,Normal
52,714,2.09,Normal
53,700,1.29,Normal
54,640,4.63,Normal
55,379,9.99,Normal
56,157,6.78,Normal
57,422,7.1,Normal
58,833,3.02,Normal
59,827,2.11,Normal
60,301,3.91,Normal
61,876,4.75,Normal
62,583,9.65,Normal
63,618,2.48,Normal
64,140,5.57,Normal
65,155,7.88,Normal
66,836,3.76,Normal
67,646,8.6,Low
68,595,6.91,Normal
69,524,9.31,Normal
70,827,6.85,Normal
71,337,9.41,Low
72,635,8.27,Normal
73,396,5.01,Normal
74,926,6.43,Normal
75,795,2.32,Normal
76,838,6.54,Normal
77,608,2.23,Normal
78,84,1.31,Normal
79,680,6.89,Normal
80,972,8.53,Normal
81,845,7.73,Normal
82,79,3.16,Normal
83,954,6.55,Normal
84,956,1.42,Normal
85,744,3.09,Normal
86,515,4.92,Normal
87,980,9.65,Normal
88,578,2.15,Normal
89,112,4.27,Normal
90,409,7.55,Normal
91,616,3.72,Normal
92,363,9.8,Normal
93,6,3.13,Normal
94,665,7.4,Normal
95,121,6.77,Low
96,503,4.12,Normal
97,278,8.37,Low
98,414,5.68,Normal
99,378,4.66,Normal
100,702,2.82,Normal
101,17,2.25,Normal
102,249,1.44,Normal
103,461,6.3,Low
104,821,5.23,Normal
105,516,4.0,Normal
106,578,8.77,Normal
107,939,9.09,Normal
108,825,1.94,Normal
109,413,2.7,Normal
110,819,7.98,Normal
111,172,9.78,Normal
112,135,5.4,Normal
113,878,1.28,Normal
114,922,2.04,Normal
115,457,8.57,Normal
116,177,1.1,Normal
117,270,8.63,Low
118,767,4.84,Normal
119,586,8.29,Normal
120,903,4.48,Low
121,474,7.57,Normal
122,74,7.46,Normal
123,887,8.5,Normal
124,472,7.32,Normal
125,671,1.98,Normal
126,564,1.97,Normal
127,217,2.07,Normal
128,978,7.53,Normal
129,375,4.17,Low
130,74,4.68,Normal
131,49,1.9,Normal
132,87,1.0,Normal
133,254,7.56,Normal
134,717,6.4,Normal
135,81,2.8,Normal
136,821,1.22,Normal
137,666,2.31,Normal
138,51,4.57,Normal
139,545,1.39,Normal
140,402,6.86,Normal
141,486,9.2,Normal
142,271,8.88,Normal
143,661,7.52,Normal
144,383,8.58,Normal
145,983,5.73,Normal
146,745,7.0,Normal
147,110,5.87,Normal
148,878,1.03,Low
149,41,8.77,Low
150,847,4.47,Normal
151,453,9.08,Normal
152,232,6.16,Normal
153,176,2.81,Normal
154,590,7.38,Normal
155,758,1.54,Normal
156,395,7.79,Normal
157,533,6.11,Normal
158,240,1.99,Normal
159,601,3.69,Normal
160,284,3.6,Normal
161,286,9.52,Low
162,301,9.71,Normal
163,993,3.0,Normal
164,20,6.19,Normal
165,100,6.34,Normal
166,693,8.11,Normal
167,47,7.36,Normal
168,397,7.4,Normal
169,441,9.48,Normal
170,151,3.92,Normal
171,404,1.96,Normal
172,473,9.5,Normal
173,629,2.59,Normal
174,542,4.63,Normal
175,906,9.48,Normal
176,998,3.83,Normal
177,681,6.06,Low
178,643,6.82,Normal
179,253,7.95,Normal
180,520,5.3,Normal
181,433,2.33,Normal
182,146,7.13,Normal
183,5,1.03,Normal
184,409,7.57,Normal
185,731,7.24,Normal
186,227,3.05,Normal
187,153,2.83,Normal
188,177,4.05,Normal
189,241,6.41,Normal
190,115,6.04,Normal
191,735,6.7,Normal
192,537,1.63,Normal
193,916,2.05,Normal
194,702,2.35,Normal
195,180,3.82,Normal
196,55,8.55,Low
197,123,5.36,Normal
198,67,2.99,Normal
199,289,2.07,Normal
200,789,9.32,Normal
201,912,3.94,Normal
202,164,8.35,Normal
203,18,9.4,Low
204,356,8.78,Normal
205,126,6.67,Normal
206,992,8.57,Normal
207,215,4.17,Normal
208,549,1.31,Normal
