OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalPrice,Status,SaleID
1,303,117,2023-08-26,4,608.13,Pending,1
2,238,67,2023-10-26,69,190.4,Delivered,2
3,216,461,2024-01-02,21,764.54,Pending,3
4,52,421,2023-04-07,100,530.13,Shipped,4
5,50,203,2022-07-28,10,198.87,Delivered,5
6,196,278,2023-02-27,92,103.55,Shipped,6
7,181,42,2023-06-25,97,138.49,Pending,7
8,435,43,2023-06-25,7,360.08,Pending,8
9,291,320,2023-11-24,49,747.76,Delivered,9
10,105,190,2022-10-18,92,620.95,Pending,10
11,115,283,2022-11-09,3,517.64,Shipped,11
12,23,7,2022-11-16,72,143.02,Shipped,12
13,144,287,2022-09-27,36,838.41,Shipped,13
14,15,281,2023-12-20,55,812.87,Shipped,14
15,120,191,2024-01-09,53,840.08,Cancelled,15
16,497,73,2023-08-15,29,411.33,Pending,16
17,499,209,2023-08-18,66,353.54,Cancelled,17
18,6,44,2022-10-22,57,702.3,Cancelled,18
19,4,251,2022-12-10,18,637.9,Shipped,19
20,8,310,2023-10-15,94,902.17,Cancelled,20
21,4,64,2024-03-12,3,799.81,Shipped,21
22,60,337,2023-07-14,59,585.56,Delivered,22
23,324,386,2023-05-02,61,687.9,Shipped,23
24,410,124,2023-08-09,7,752.94,Cancelled,24
25,317,471,2024-03-11,65,125.88,Cancelled,25
26,146,482,2022-12-31,95,164.89,Cancelled,26
27,164,202,2024-02-27,75,995.45,Cancelled,27
28,117,446,2023-07-23,71,956.65,Pending,28
29,101,100,2024-02-16,72,795.84,Shipped,29
30,24,275,2022-12-31,71,265.35,Delivered,30
31,41,108,2023-01-01,79,646.19,Shipped,31
32,283,16,2023-01-26,65,309.31,Pending,32
33,34,263,2022-07-14,63,253.97,Cancelled,33
34,457,290,2023-07-05,21,787.11,Shipped,34
35,235,32,2023-06-10,80,651.87,Cancelled,35
36,386,27,2023-04-04,55,773.65,Delivered,36
37,264,2,2023-08-20,43,143.41,Pending,37
38,22,206,2022-12-16,4,533.88,Cancelled,38
39,264,459,2023-01-06,16,367.75,Cancelled,39
40,123,376,2022-06-06,52,630.87,Delivered,40
41,115,485,2023-06-14,97,547.91,Cancelled,41
42,248,422,2023-04-26,33,973.5,Cancelled,42
43,265,274,2024-02-19,57,270.46,Shipped,43
44,184,167,2022-09-16,17,710.24,Shipped,44
45,315,136,2023-12-23,52,286.61,Cancelled,45
46,57,233,2022-12-30,99,947.7,Pending,46
47,427,185,2022-08-26,78,876.37,Pending,47
48,307,53,2023-04-05,77,532.9,Pending,48
49,53,199,2023-03-30,82,232.38,Delivered,49
50,76,363,2022-08-25,65,418.54,Pending,50
51,440,387,2023-05-31,47,858.03,Pending,51
52,25,74,2024-05-08,47,994.98,Shipped,52
53,169,166,2023-05-09,42,176.96,Cancelled,53
54,434,191,2022-05-25,61,772.79,Pending,54
55,20,446,2022-11-21,25,340.27,Cancelled,55
56,386,222,2023-08-31,20,697.53,Shipped,56
57,19,142,2023-02-02,34,324.44,Pending,57
58,231,419,2023-06-03,69,978.24,Cancelled,58
59,200,382,2023-03-22,85,969.0,Pending,59
60,107,418,2023-11-28,88,229.2,Delivered,60
61,280,357,2022-11-24,79,540.72,Shipped,61
62,294,414,2022-12-08,24,984.39,Pending,62
63,119,128,2023-07-29,65,617.15,Cancelled,63
64,266,276,2022-12-18,79,807.95,Delivered,64
65,113,75,2023-08-27,97,918.51,Shipped,65
66,465,498,2023-01-26,43,412.95,Delivered,66
67,1,245,2023-10-11,93,825.42,Pending,67
68,344,9,2023-05-30,19,593.99,Shipped,68
69,27,444,2023-08-29,84,153.83,Shipped,69
70,35,208,2023-05-04,49,524.11,Cancelled,70
71,21,466,2023-07-05,85,850.95,Pending,71
72,225,407,2024-01-03,47,829.69,Pending,72
73,159,172,2024-02-28,31,762.61,Cancelled,73
74,116,443,2023-08-01,40,779.06,Cancelled,74
75,180,218,2022-05-28,22,364.39,Delivered,75
76,499,20,2024-01-04,88,208.84,Cancelled,76
77,249,176,2024-04-28,54,758.1,Cancelled,77
78,266,455,2022-08-28,52,228.09,Pending,78
79,442,445,2022-09-23,8,838.04,Shipped,79
80,297,470,2023-05-16,92,396.57,Delivered,80
81,83,6,2022-11-08,14,547.9,Pending,81
82,44,196,2023-05-27,87,675.3,Pending,82
83,335,155,2023-09-26,58,769.4,Cancelled,83
84,131,24,2024-03-07,27,394.69,Shipped,84
85,106,90,2024-03-11,35,648.56,Pending,85
86,298,312,2023-08-05,67,980.05,Delivered,86
87,49,391,2023-05-28,16,925.12,Shipped,87
88,402,427,2023-05-27,20,113.2,Delivered,88
89,273,57,2022-06-02,78,709.2,Pending,89
90,381,23,2023-12-14,12,177.23,Pending,90
91,246,46,2022-08-14,37,207.83,Delivered,91
92,490,434,2023-08-04,31,858.16,Pending,92
93,129,383,2024-02-28,56,848.12,Delivered,93
94,200,33,2023-03-18,62,985.56,Pending,94
95,135,4,2023-10-10,73,731.57,Pending,95
96,27,360,2024-04-22,50,292.86,Delivered,96
97,475,241,2022-12-05,99,230.67,Delivered,97
98,226,97,2022-06-30,84,426.31,Delivered,98
99,373,470,2024-04-13,70,791.67,Shipped,99
100,147,282,2022-05-21,7,947.19,Delivered,100
101,92,490,2022-10-17,76,968.86,Pending,101
102,398,190,2022-08-28,37,816.78,Pending,102
103,466,433,2024-05-06,83,904.57,Cancelled,103
104,369,182,2023-04-28,8,128.98,Delivered,104
105,27,35,2023-06-04,99,865.18,Delivered,105
106,277,316,2022-12-20,26,388.27,Delivered,106
107,193,234,2023-07-10,19,376.02,Delivered,107
108,215,498,2023-04-03,45,321.42,Cancelled,108
109,124,316,2023-12-07,69,741.52,Shipped,109
110,389,89,2023-03-06,65,523.96,Shipped,110
111,456,186,2023-11-27,48,314.05,Shipped,111
112,403,164,2022-09-18,93,577.21,Pending,112
113,161,87,2022-06-24,74,267.54,Shipped,113
114,351,115,2023-04-11,76,163.4,Pending,114
115,117,220,2023-06-18,94,562.18,Pending,115
116,288,495,2022-12-20,77,906.8,Cancelled,116
117,316,299,2023-03-11,80,281.54,Delivered,117
118,44,373,2023-11-14,70,665.31,Delivered,118
119,308,408,2022-09-18,13,192.02,Cancelled,119
120,462,103,2022-05-21,73,492.4,Pending,120
121,225,458,2022-10-03,60,108.88,Shipped,121
122,147,498,2022-07-13,14,449.16,Cancelled,122
123,282,453,2023-01-12,56,901.32,Shipped,123
124,220,341,2022-05-16,27,992.97,Cancelled,124
125,370,47,2023-12-22,23,906.94,Delivered,125
