TotalSales,SalesByCategory,SalesByProduct,SalesByRegion,SalesByCity
5942.82,PVC-O (molecular oriented PVC),Water Tanks,West Jennifer,Fergusonland
7483.01,PVC-O (molecular oriented PVC),Agricultural Product,Lake Kelly,Ernestchester
9489.22,PVC-U (unplasticised PVC),SANITARY PRODUCT,Knappfurt,Shepherdport
8972.36,PVC-U (unplasticised PVC),SANITARY PRODUCT,Rickeymouth,Lake Sara
9118.37,Modified PVC,SANITARY PRODUCT,Clarkton,Melissaville
1804.47,PVC-O (molecular oriented PVC),Water Tanks,East Christopher,Lisachester
3800.11,Modified PVC,Cleaning Product,East Erin,Christopherside
3295.87,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Port Shannonview,South Stephaniestad
4782.21,C-PVC (chlorinated PVC),Plumbing Product,Crosschester,Harrishaven
8464.78,Modified PVC,Industrial Product,North Jonathanview,North Ashleyburgh
2138.75,PVC-O (molecular oriented PVC),Plumbing Product,Christophermouth,East Tracy
6553.9,C-PVC (chlorinated PVC),Water Tanks,South Jonathanfort,South Jerome
2794.46,PVC-O (molecular oriented PVC),Cleaning Product,South Meagan,Johnfort
9373.5,PVC-O (molecular oriented PVC),Plumbing Product,Emilymouth,Melissaside
2621.43,C-PVC (chlorinated PVC),Water Tanks,East Brandybury,Port Susan
2035.26,PVC-U (unplasticised PVC),SANITARY PRODUCT,Lake Rebecca,Kingbury
6174.86,PVC-O (molecular oriented PVC),Agricultural Product,Lake Thomas,Chambersview
8761.76,PVC-U (unplasticised PVC),Agricultural Product,South Jesseborough,Alisonton
6029.14,PVC-O (molecular oriented PVC),Plumbing Product,North Natalie,North Brianport
5553.07,C-PVC (chlorinated PVC),Water Tanks,East Rebecca,Tylerside
7439.07,PVC-O (molecular oriented PVC),Agricultural Product,Lake Ronaldmouth,New Sandrachester
2434.74,Modified PVC,SANITARY PRODUCT,Amymouth,Laraborough
7504.17,PVC-O (molecular oriented PVC),Agricultural Product,Cookland,East Shannonfort
1902.51,PVC-O (molecular oriented PVC),Industrial Product,Mckayburgh,Hollowayhaven
5682.12,Modified PVC,Water Tanks,North Crystal,West Jessicamouth
6240.15,PVC-O (molecular oriented PVC),Cleaning Product,West Tinamouth,Lake Rebeccaland
6344.66,Modified PVC,Water Tanks,East Robertshire,Kathyburgh
2918.13,C-PVC (chlorinated PVC),SANITARY PRODUCT,West Lindaside,Port Tyler
4196.47,Modified PVC,Water Tanks,South Tyler,South Martha
2687.1,C-PVC (chlorinated PVC),Cleaning Product,Ricefort,East Katherinefurt
3829.55,C-PVC (chlorinated PVC),Agricultural Product,North Tara,North John
9681.17,Modified PVC,Water Tanks,Nicholasbury,Port Kelly
3971.71,PVC-U (unplasticised PVC),Industrial Product,Davidton,Williamstad
1437.57,Modified PVC,SANITARY PRODUCT,Port Billyfort,Andersonton
8008.61,PVC-U (unplasticised PVC),Plumbing Product,Nancystad,Alvaradoside
3550.49,Modified PVC,Water Tanks,Websterborough,Lake Jamesberg
4616.25,C-PVC (chlorinated PVC),Cleaning Product,Mooretown,Denisechester
2130.8,C-PVC (chlorinated PVC),Agricultural Product,Lake Jasminemouth,New Daniel
9350.08,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Kimberlystad,Tiffanymouth
9559.24,Modified PVC,Water Tanks,Richardsport,New Catherineton
4890.98,PVC-O (molecular oriented PVC),Plumbing Product,North Jennifer,Ramirezhaven
1153.59,PVC-O (molecular oriented PVC),Cleaning Product,Armstrongside,Karenton
3683.39,PVC-U (unplasticised PVC),Water Tanks,Lake Laura,Whitneyhaven
5671.64,Modified PVC,Plumbing Product,Shannonmouth,Adamsburgh
9769.44,PVC-O (molecular oriented PVC),Plumbing Product,Robinsonstad,Samanthaton
2281.97,C-PVC (chlorinated PVC),Agricultural Product,Susanside,New Joy
7112.58,PVC-U (unplasticised PVC),Plumbing Product,Martinmouth,Ramseyton
5920.79,PVC-U (unplasticised PVC),Agricultural Product,West Michelle,Walkerstad
1268.68,Modified PVC,Plumbing Product,Bradleychester,Port Ashleymouth
9953.96,C-PVC (chlorinated PVC),SANITARY PRODUCT,Port Kevin,Curtiston
8027.07,Modified PVC,Agricultural Product,West Nataliechester,Garciaberg
